Emisor;Documento;Folio;Fecha;Total;Usuario
INNOVACION Y TECNOLOGIA EMPRESARIAL ITEM LIMITADA;Factura electrónica;1262615;25-01-2026;108.960;rlopez@bmlconsultores.cl
INVERSIONES INVERTIR SPA;Factura electrónica;59;23-01-2026;175.980;rlopez@bmlconsultores.cl
PRODUCTOS Y SERVICIOS INFORMATICOS TORRES SPA;Factura electrónica;7032;22-01-2026;496.990;rlopez@bmlconsultores.cl
Santander - Chile;Factura electrónica;54420978;22-01-2026;15.676;rlopez@bmlconsultores.cl
SOCIEDAD BESTMART SPA;Factura electrónica;19095;22-01-2026;1.249.990;rlopez@bmlconsultores.cl
Santander - Chile;Factura no afecta o exenta electrónica;14564503;22-01-2026;0;rlopez@bmlconsultores.cl
COMERCIAL   ESTELLA  SPA;Factura electrónica;4860;21-01-2026;304.640;rlopez@bmlconsultores.cl
COMERCIAL K SPA;Factura electrónica;1452753;21-01-2026;859.762;rlopez@bmlconsultores.cl
COMERCIAL ECCSA S.A.;Factura electrónica;2235522;20-01-2026;397.580;rlopez@bmlconsultores.cl
EASY RETAIL S.A. .-;Factura electrónica;37189069;20-01-2026;83.981;rlopez@bmlconsultores.cl
IX COMERCIO CHILE SPA;Factura electrónica;33040;20-01-2026;170.256;rlopez@bmlconsultores.cl
KITCHEN CENTER SPA;Factura electrónica;11366163;20-01-2026;699.990;rlopez@bmlconsultores.cl
PERSONAL COMPUTER FACTORY S.A.;Factura electrónica;5511522;20-01-2026;742.290;rlopez@bmlconsultores.cl
COMERCIALIZADORA, ASESORÍAS E INVERSIONES TABS SPA;Nota de crédito electrónica;244;20-01-2026;82.900;rlopez@bmlconsultores.cl
COMERCIAL VADELL SPA;Factura electrónica;14896;19-01-2026;314.480;rlopez@bmlconsultores.cl
SAMSUNG ELECTRONICS CHILE LIMITADA;Factura electrónica;2007519;19-01-2026;729.990;rlopez@bmlconsultores.cl
SODIMAC S.A.;Factura electrónica;144953878;19-01-2026;410.980;rlopez@bmlconsultores.cl
ILOP S A;Factura electrónica;2964259;18-01-2026;74.590;rlopez@bmlconsultores.cl
ABC S.A.;Factura electrónica;844333;16-01-2026;818.460;rlopez@bmlconsultores.cl
BANCO ITAU CHILE;Factura electrónica;7648182;16-01-2026;14.284;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10623;16-01-2026;105.492;rlopez@bmlconsultores.cl
COMERCIALIZADORA PABLO VILLALOBOS E.I.R.L.;Factura electrónica;35;16-01-2026;2.474.600;rlopez@bmlconsultores.cl
Falabella.com SpA;Factura electrónica;416423;16-01-2026;356.980;rlopez@bmlconsultores.cl
INNOVACION Y TECNOLOGIA EMPRESARIAL ITEM LIMITADA;Factura electrónica;1259767;16-01-2026;1.909.836;rlopez@bmlconsultores.cl
TECH BOX SPA;Factura electrónica;13491;16-01-2026;454.960;rlopez@bmlconsultores.cl
VETO Y CIA LTDA;Factura electrónica;892578;16-01-2026;250.994;rlopez@bmlconsultores.cl
WORLDQUERY SPA;Factura electrónica;69243;16-01-2026;534.770;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10622;15-01-2026;191.284;rlopez@bmlconsultores.cl
KARCHER CHILE SPA;Factura electrónica;283961;15-01-2026;305.950;rlopez@bmlconsultores.cl
LOGINSA BIOMEDICAL LIMITADA;Factura electrónica;7138;15-01-2026;16.720.788;rlopez@bmlconsultores.cl
SAMSUNG ELECTRONICS CHILE LIMITADA;Factura electrónica;2006869;15-01-2026;989.971;rlopez@bmlconsultores.cl
SAMSUNG ELECTRONICS CHILE LIMITADA;Factura electrónica;2006895;15-01-2026;729.990;rlopez@bmlconsultores.cl
FALABELLA RETAIL SA;Nota de crédito electrónica;29246097;15-01-2026;369.990;rlopez@bmlconsultores.cl
KARCHER CHILE SPA;Nota de crédito electrónica;24012;15-01-2026;305.950;rlopez@bmlconsultores.cl
BICE VIDA COMPANIA DE SEGUROS S A;Factura electrónica;864822;14-01-2026;378.600;rlopez@bmlconsultores.cl
COMERCIAL BEST HIKE LIMITADA;Factura electrónica;17945;14-01-2026;179.250;rlopez@bmlconsultores.cl
JARA MENDEZ LIMITADA;Factura electrónica;26851;14-01-2026;767.994;rlopez@bmlconsultores.cl
MORPH2O LATINOAMERICA LIMITADA;Factura electrónica;6508;14-01-2026;552.634;rlopez@bmlconsultores.cl
PATAGONIK S A;Factura electrónica;14915;14-01-2026;431.862;rlopez@bmlconsultores.cl
SERVICIOS AGROPRECISIÓN SPA;Factura electrónica;5415;14-01-2026;2.133.349;rlopez@bmlconsultores.cl
VETO Y CIA LTDA;Factura electrónica;892442;14-01-2026;426.125;rlopez@bmlconsultores.cl
BUSINESS INFORMATION PROCESSING S.A.;Factura electrónica;339506;13-01-2026;895.980;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10619;13-01-2026;157.992;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10618;13-01-2026;157.992;rlopez@bmlconsultores.cl
EASY WAYS CHILE SPA;Factura electrónica;32628;13-01-2026;399.959;rlopez@bmlconsultores.cl
INVERSIONES SOARING LIMITADA;Factura electrónica;35;13-01-2026;29.938;rlopez@bmlconsultores.cl
MOUVAIR SPA;Factura electrónica;3017;13-01-2026;705.484;rlopez@bmlconsultores.cl
PATAGONIK S A;Factura electrónica;14911;13-01-2026;2.902.679;rlopez@bmlconsultores.cl
CENCOSUD RETAIL S.A.;Factura electrónica;25956254;12-01-2026;108.983;rlopez@bmlconsultores.cl
COMERCIALIZADORA, ASESORÍAS E INVERSIONES TABS SPA;Factura electrónica;682;12-01-2026;87.899;rlopez@bmlconsultores.cl
COMPANIA DE EFICIENCIA LABORES AGRICOLAS SPA;Factura electrónica;18138;12-01-2026;2.099.001;rlopez@bmlconsultores.cl
FALABELLA RETAIL SA;Factura electrónica;5515544;12-01-2026;1.430.980;rlopez@bmlconsultores.cl
HERMANOS KLOCKER SPA;Factura electrónica;7185;12-01-2026;95.000;rlopez@bmlconsultores.cl
NEMACHILE SERVICIOS AGRICOLAS LIMITADA;Factura electrónica;4358;12-01-2026;190.400;rlopez@bmlconsultores.cl
OSOJI ROBOTICS CORPORATION CHILE SPA;Factura electrónica;11590;12-01-2026;1.619.373;rlopez@bmlconsultores.cl
ENTEL PCS TELECOMUNICACIONES S A;Factura electrónica;52707976;10-01-2026;89.271;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10615;09-01-2026;309.477;rlopez@bmlconsultores.cl
COMERCIALIZADORA B&B SPA;Factura electrónica;460;09-01-2026;374.963;rlopez@bmlconsultores.cl
EASY WAYS CHILE SPA;Factura electrónica;32568;09-01-2026;4.570.701;rlopez@bmlconsultores.cl
ECOCLICK SPA;Factura electrónica;11329;09-01-2026;50.343;rlopez@bmlconsultores.cl
GASEI S.A.;Factura electrónica;103294;09-01-2026;4.664.284;rlopez@bmlconsultores.cl
INNOVACION Y TECNOLOGIA EMPRESARIAL ITEM LIMITADA;Factura electrónica;1259618;09-01-2026;94.260;rlopez@bmlconsultores.cl
SASCO SpA;Factura electrónica;43770;09-01-2026;119.000;rlopez@bmlconsultores.cl
BANCO ITAU CHILE;Factura no afecta o exenta electrónica;3524759;09-01-2026;6.205;rlopez@bmlconsultores.cl
COMERCIAL MABE CHILE LIMITADA;Factura electrónica;633052;08-01-2026;116.766;rlopez@bmlconsultores.cl
DD COSMETICS SPA;Factura electrónica;5683;08-01-2026;144.000;rlopez@bmlconsultores.cl
INNOVACION Y TECNOLOGIA EMPRESARIAL ITEM LIMITADA;Factura electrónica;1259569;08-01-2026;2.382.360;rlopez@bmlconsultores.cl
INVERSIONES Y ASESORIAS FEMA LIMITADA;Factura electrónica;11223;08-01-2026;4.660.673;rlopez@bmlconsultores.cl
JARA MENDEZ LIMITADA;Factura electrónica;26840;08-01-2026;695.975;rlopez@bmlconsultores.cl
OSOJI ROBOTICS CORPORATION CHILE SPA;Factura electrónica;11575;08-01-2026;3.761.771;rlopez@bmlconsultores.cl
SOCIEDAD COMERCIAL MOGGILL SPA;Factura electrónica;27811;08-01-2026;146.212;rlopez@bmlconsultores.cl
BML AUDITORES LIMITADA;Factura no afecta o exenta electrónica;2827;08-01-2026;1.307.248;rlopez@bmlconsultores.cl
CERCANO S.A.;Nota de crédito electrónica;2532;08-01-2026;35.993;rlopez@bmlconsultores.cl
INVERSIONES Y ASESORIAS FEMA LIMITADA;Nota de crédito electrónica;2246;08-01-2026;4.791.001;rlopez@bmlconsultores.cl
ATAKAMA OUTDOOR SPA;Factura electrónica;6654;07-01-2026;63.963;rlopez@bmlconsultores.cl
ATAKAMA OUTDOOR SPA;Factura electrónica;6650;07-01-2026;131.139;rlopez@bmlconsultores.cl
ATAKAMA OUTDOOR SPA;Factura electrónica;6649;07-01-2026;67.177;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10608;07-01-2026;157.992;rlopez@bmlconsultores.cl
CERCANO S.A.;Factura electrónica;10609;07-01-2026;157.992;rlopez@bmlconsultores.cl
COMERCIALIZADORA B&B SPA;Factura electrónica;458;07-01-2026;187.461;rlopez@bmlconsultores.cl
COMERCIALIZADORA B&B SPA;Factura electrónica;457;07-01-2026;288.640;rlopez@bmlconsultores.cl
COMERCIALIZADORA PÁRAMO SPA;Factura electrónica;343;07-01-2026;26.716;rlopez@bmlconsultores.cl
COMERCIAL K SPA;Factura electrónica;1447780;07-01-2026;964.852;rlopez@bmlconsultores.cl
COMERCIAL MABE CHILE LIMITADA;Factura electrónica;633017;07-01-2026;437.882;rlopez@bmlconsultores.cl
EASY RETAIL S.A. .-;Factura electrónica;37185104;07-01-2026;1.359.461;rlopez@bmlconsultores.cl
Falabella.com SpA;Factura electrónica;415285;07-01-2026;114.980;rlopez@bmlconsultores.cl
FALABELLA RETAIL SA;Factura electrónica;5514434;07-01-2026;404.899;rlopez@bmlconsultores.cl
FALABELLA RETAIL SA;Factura electrónica;5514464;07-01-2026;203.980;rlopez@bmlconsultores.cl
MOUVAIR SPA;Factura electrónica;3016;07-01-2026;775.126;rlopez@bmlconsultores.cl
PATAGONIK S A;Factura electrónica;14894;07-01-2026;41.569;rlopez@bmlconsultores.cl
INVERSIONES Y ASESORIAS FEMA LIMITADA;Factura electrónica;11216;06-01-2026;4.791.001;rlopez@bmlconsultores.cl
PATAGONIK S A;Factura electrónica;14893;06-01-2026;5.271.693;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;830;06-01-2026;9.000;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;831;06-01-2026;9.000;rlopez@bmlconsultores.cl
VETO Y CIA LTDA;Factura electrónica;892044;06-01-2026;737.986;rlopez@bmlconsultores.cl
EASY WAYS CHILE SPA;Factura electrónica;32517;05-01-2026;359.957;rlopez@bmlconsultores.cl
EASY WAYS CHILE SPA;Factura electrónica;32516;05-01-2026;4.615.282;rlopez@bmlconsultores.cl
ECOCLICK SPA;Factura electrónica;11284;05-01-2026;61.272;rlopez@bmlconsultores.cl
ECOCLICK SPA;Factura electrónica;11285;05-01-2026;282.560;rlopez@bmlconsultores.cl
ECOCLICK SPA;Factura electrónica;11283;05-01-2026;23.128;rlopez@bmlconsultores.cl
ECOCLICK SPA;Factura electrónica;11286;05-01-2026;435.457;rlopez@bmlconsultores.cl
FALABELLA RETAIL SA;Factura electrónica;5513567;05-01-2026;1.570.930;rlopez@bmlconsultores.cl
Santander - Chile;Factura electrónica;54327363;05-01-2026;8.510;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;829;05-01-2026;625.900;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;827;05-01-2026;388.800;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;828;05-01-2026;198.900;rlopez@bmlconsultores.cl
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA;Factura electrónica;825;04-01-2026;189.900;rlopez@bmlconsultores.cl
