VERIFICACION DE DTEs DE ENERO 2026
Total folios a verificar: 187

========================================
RESUMEN
========================================
DTEs encontradas en enero 2026: 70
Con match CONFIRMED:  70
Con match DRAFT:      0
Con match REJECTED:   0
Sin ningun match:     0
Folios NO encontrados en enero: 118
========================================

--- FOLIOS NO ENCONTRADOS EN ENERO 2026 (118) ---
  Folio 1 -> Fecha: 2025-12-05 | Tipo 61 | $1950001 | PAID | Match: SIN MATCH | ELECTRIC MOVE SPA
  Folio 1 -> Fecha: 2025-04-16 | Tipo 61 | $239904 | PAID | Match: SIN MATCH | COMERCIALIZADORA EAE SPA
  Folio 1 -> Fecha: 2026-02-19 | Tipo 33 | $952000 | PAID | Match: CONFIRMED | DP SISTEMAS Y AUTOMATIZACIONES SPA
  Folio 33 -> Fecha: 2025-12-05 | Tipo 33 | $497936 | PAID | Match: CONFIRMED | INVERSIONES SOARING LIMITADA
  Folio 33 -> Fecha: 2025-03-27 | Tipo 33 | $4556986 | UNPAID | Match: SIN MATCH | GOPOINTS CHILE SPA
  Folio 33 -> Fecha: 2025-11-28 | Tipo 33 | $3399300 | UNPAID | Match: SIN MATCH | COMERCIALIZADORA PABLO VILLALOBOS E.I.R.L.
  Folio 33 -> Fecha: 2025-05-06 | Tipo 33 | $936016 | UNPAID | Match: SIN MATCH | COMERCIALIZADORA EAE SPA
  Folio 48 -> Fecha: 2025-12-10 | Tipo 33 | $1268256 | PAID | Match: CONFIRMED | COMERCIALIZADORA EAE SPA
  Folio 49 -> Fecha: 2025-12-17 | Tipo 33 | $304878 | PAID | Match: CONFIRMED | COMERCIALIZADORA EAE SPA
  Folio 50 -> Fecha: 2025-12-31 | Tipo 33 | $99960 | PAID | Match: CONFIRMED | COMERCIALIZADORA EAE SPA
  Folio 328 -> Fecha: 2025-12-09 | Tipo 33 | $130388 | PAID | Match: CONFIRMED | COMERCIALIZADORA PÁRAMO SPA
  Folio 334 -> Fecha: 2025-12-18 | Tipo 33 | $10000 | PAID | Match: CONFIRMED | COMERCIALIZADORA PÁRAMO SPA
  Folio 336 -> Fecha: 2025-12-24 | Tipo 33 | $5343 | PAID | Match: CONFIRMED | COMERCIALIZADORA PÁRAMO SPA
  Folio 352 -> Fecha: 2025-12-02 | Tipo 33 | $187425 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 354 -> Fecha: 2025-12-02 | Tipo 33 | $1267314 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 365 -> Fecha: 2025-12-10 | Tipo 33 | $277425 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 366 -> Fecha: 2025-12-10 | Tipo 33 | $2200777 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 375 -> Fecha: 2025-12-15 | Tipo 33 | $179938 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 376 -> Fecha: 2025-12-15 | Tipo 33 | $179938 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 377 -> Fecha: 2025-12-15 | Tipo 33 | $1180902 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 377 -> Fecha: 2025-06-30 | Tipo 33 | $361677 | UNPAID | Match: SIN MATCH | PAPERLUX SPA
  Folio 389 -> Fecha: 2025-12-29 | Tipo 33 | $1180902 | PAID | Match: CONFIRMED | COMERCIALIZADORA B&B SPA
  Folio 782 -> Fecha: 2025-12-29 | Tipo 33 | $250000 | PAID | Match: CONFIRMED | ARCOVEG  LIMPIEZA. Y TRANSPORTE DE PASAJEROS LIMITADA
  Folio 801 -> Fecha: 2026-03-02 | Tipo 33 | $200000 | PAID | Match: CONFIRMED | ARCOVEG  LIMPIEZA. Y TRANSPORTE DE PASAJEROS LIMITADA
  Folio 801 -> Fecha: 2025-12-17 | Tipo 33 | $189900 | PAID | Match: CONFIRMED | SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA
  Folio 803 -> Fecha: 2025-12-17 | Tipo 33 | $216900 | PAID | Match: CONFIRMED | SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA
  Folio 804 -> Fecha: 2025-12-17 | Tipo 33 | $189900 | PAID | Match: CONFIRMED | SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA
  Folio 819 -> Fecha: 2025-12-29 | Tipo 33 | $198900 | UNPAID | Match: SIN MATCH | SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA
  Folio 1628 -> Fecha: 2025-12-11 | Tipo 33 | $1039917 | PAID | Match: CONFIRMED | MUVTER SPA
  Folio 2431 -> Fecha: 2025-11-25 | Tipo 33 | $1703211 | PAID | Match: CONFIRMED | COMERCIAL TICINO SPA
  Folio 2507 -> Fecha: 2025-12-12 | Tipo 61 | $79992 | PAID | Match: SIN MATCH | CERCANO S.A.
  Folio 2765 -> Fecha: 2025-12-05 | Tipo 34 | $1333217 | PAID | Match: CONFIRMED | BML AUDITORES LIMITADA
  Folio 2861 -> Fecha: 2025-12-11 | Tipo 33 | $503917 | PAID | Match: CONFIRMED | MOUVAIR SPA
  Folio 2862 -> Fecha: 2025-12-11 | Tipo 33 | $479976 | PAID | Match: CONFIRMED | MOUVAIR SPA
  Folio 5320 -> Fecha: 2025-12-02 | Tipo 33 | $2133349 | PAID | Match: CONFIRMED | SERVICIOS AGROPRECISIÓN SPA
  Folio 5354 -> Fecha: 2025-12-18 | Tipo 33 | $2133349 | UNPAID | Match: SIN MATCH | SERVICIOS AGROPRECISIÓN SPA
  Folio 5357 -> Fecha: 2025-12-18 | Tipo 33 | $2133349 | PAID | Match: CONFIRMED | SERVICIOS AGROPRECISIÓN SPA
  Folio 5641 -> Fecha: 2025-12-04 | Tipo 33 | $200000 | PAID | Match: CONFIRMED | DD COSMETICS SPA
  Folio 5658 -> Fecha: 2025-12-17 | Tipo 33 | $15440 | PAID | Match: CONFIRMED | DD COSMETICS SPA
  Folio 6403 -> Fecha: 2025-12-10 | Tipo 33 | $103177 | PAID | Match: CONFIRMED | ATAKAMA OUTDOOR SPA
  Folio 6404 -> Fecha: 2025-12-11 | Tipo 33 | $63963 | PAID | Match: CONFIRMED | ATAKAMA OUTDOOR SPA
  Folio 6409 -> Fecha: 2025-12-12 | Tipo 33 | $519840 | PAID | Match: CONFIRMED | ATAKAMA OUTDOOR SPA
  Folio 6443 -> Fecha: 2025-12-18 | Tipo 33 | $2270034 | PAID | Match: CONFIRMED | MORPH2O LATINOAMERICA LIMITADA
  Folio 6444 -> Fecha: 2025-12-18 | Tipo 33 | $552634 | PAID | Match: CONFIRMED | MORPH2O LATINOAMERICA LIMITADA
  Folio 6592 -> Fecha: 2025-12-19 | Tipo 33 | $187947 | PAID | Match: CONFIRMED | ATAKAMA OUTDOOR SPA
  Folio 6593 -> Fecha: 2025-12-19 | Tipo 33 | $230336 | PAID | Match: CONFIRMED | ATAKAMA OUTDOOR SPA
  Folio 7092 -> Fecha: 2025-12-15 | Tipo 33 | $12697515 | PAID | Match: CONFIRMED,CONFIRMED | LOGINSA BIOMEDICAL LIMITADA
  Folio 7169 -> Fecha: 2025-12-24 | Tipo 33 | $95000 | PAID | Match: CONFIRMED | HERMANOS KLOCKER SPA
  Folio 10503 -> Fecha: 2025-12-05 | Tipo 33 | $1018234 | PAID | Match: CONFIRMED | CERCANO S.A.
  Folio 10520 -> Fecha: 2025-08-19 | Tipo 33 | $1754903 | UNPAID | Match: SIN MATCH | OSOJI ROBOTICS CORPORATION CHILE SPA
  Folio 10520 -> Fecha: 2025-12-12 | Tipo 33 | $84492 | PAID | Match: CONFIRMED | CERCANO S.A.
  Folio 10521 -> Fecha: 2025-12-12 | Tipo 33 | $748744 | PAID | Match: CONFIRMED | CERCANO S.A.
  Folio 10538 -> Fecha: 2025-12-15 | Tipo 33 | $214666 | PAID | Match: CONFIRMED | CERCANO S.A.
  Folio 10592 -> Fecha: 2025-12-30 | Tipo 33 | $272356 | PAID | Match: CONFIRMED | CERCANO S.A.
  Folio 11197 -> Fecha: 2025-12-22 | Tipo 33 | $23830 | PAID | Match: CONFIRMED | ECOCLICK SPA
  Folio 11198 -> Fecha: 2025-12-22 | Tipo 33 | $120453 | PAID | Match: CONFIRMED | ECOCLICK SPA
  Folio 11198 -> Fecha: 2025-02-28 | Tipo 33 | $2427600 | UNPAID | Match: SIN MATCH | COMERCIALIZADORA DE PRODUCTOS Y SERVICIOS INDUSTRIALES SERPROIND LIMITADA
  Folio 11401 -> Fecha: 2025-12-09 | Tipo 33 | $7109611 | PAID | Match: CONFIRMED,CONFIRMED | OSOJI ROBOTICS CORPORATION CHILE SPA
